,p_name,manufacturer_processed,longitude,latitude,numb_turbines,avg_turbine_capacity,turbine_blade_weight,turbine_blade_length,text
49,unknown Wyoming County,other,-78.187935,42.740818,1.0,,0.6690399,41.0,Project Name: unknown Wyoming County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
48,unknown Steuben County,other,-77.53366227272727,42.486563909090904,11.0,,0.6690399,41.0,Project Name: unknown Steuben County<br>Number of Turbines: 11.0<br>Average Turbine Capacity: nan MW
47,unknown Oneida County,other,-75.44736900000001,42.975771,2.0,,0.6690399,41.0,Project Name: unknown Oneida County<br>Number of Turbines: 2.0<br>Average Turbine Capacity: nan MW
46,unknown Niagara County,other,-78.493963,43.282899,1.0,,0.6690399,41.0,Project Name: unknown Niagara County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
45,unknown Montgomery County,other,-74.510246,42.9051875,2.0,,0.6690399,41.0,Project Name: unknown Montgomery County<br>Number of Turbines: 2.0<br>Average Turbine Capacity: nan MW
44,unknown Lewis County,other,-75.627747,43.791592,1.0,,0.6690399,41.0,Project Name: unknown Lewis County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
43,unknown Kings County,other,-74.008804,40.663235,1.0,,0.6690399,41.0,Project Name: unknown Kings County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
42,unknown Greene County,other,-74.043701,42.353592,1.0,,0.6690399,41.0,Project Name: unknown Greene County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
41,unknown Genesee County,other,-78.40324,43.000551,1.0,,0.6690399,41.0,Project Name: unknown Genesee County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
40,unknown Erie County,other,-78.930092,42.977398,2.0,100.0,0.6436751,25.75,Project Name: unknown Erie County<br>Number of Turbines: 2.0<br>Average Turbine Capacity: 100.0 MW
39,unknown Chautauqua County,other,-79.11637,42.55933,1.0,,0.6690399,41.0,Project Name: unknown Chautauqua County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
38,unknown Cayuga County,other,-76.582039,42.663563,1.0,,0.6690399,41.0,Project Name: unknown Cayuga County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
37,unknown Broome County,other,-75.52374742857144,42.088703714285714,7.0,,0.6690399,41.0,Project Name: unknown Broome County<br>Number of Turbines: 7.0<br>Average Turbine Capacity: nan MW
36,unknown Allegany County,other,-78.307854,42.519878,1.0,,0.6690399,41.0,Project Name: unknown Allegany County<br>Number of Turbines: 1.0<br>Average Turbine Capacity: nan MW
35,Zotos,other,-76.9680505,42.8866965,2.0,1650.0,5.531561,41.0,Project Name: Zotos<br>Number of Turbines: 2.0<br>Average Turbine Capacity: 1650.0 MW
34,Wethersfield,vestas,-78.24533679999999,42.682781999999996,10.0,660.0,1.8522668,23.5,Project Name: Wethersfield<br>Number of Turbines: 10.0<br>Average Turbine Capacity: 660.0 MW
33,Town of Richland,other,-76.036995,43.565189,1.0,100.0,0.61831033,10.5,Project Name: Town of Richland<br>Number of Turbines: 1.0<br>Average Turbine Capacity: 100.0 MW
32,Steel Winds II,other,-78.861697,42.807241833333336,6.0,2500.0,9.03261,48.0,Project Name: Steel Winds II<br>Number of Turbines: 6.0<br>Average Turbine Capacity: 2500.0 MW
31,Steel Winds,other,-78.867636625,42.8179025,8.0,2500.0,9.03261,46.5,Project Name: Steel Winds<br>Number of Turbines: 8.0<br>Average Turbine Capacity: 2500.0 MW
30,Seneca Nation,vensys,-79.102692,42.580894,1.0,1500.0,5.8791647,41.15,Project Name: Seneca Nation<br>Number of Turbines: 1.0<br>Average Turbine Capacity: 1500.0 MW
29,Roaring Brook Wind,siemens gamesa renewable energy,-75.61710554999999,43.70754375,20.0,4031.25,18.317348,68.625,Project Name: Roaring Brook Wind<br>Number of Turbines: 20.0<br>Average Turbine Capacity: 4031.25 MW
28,Orangeville Wind,ge wind,-78.24060375862068,42.746163603448274,47.241379310344826,1620.0,6.8925037,50.1551724137931,Project Name: Orangeville Wind<br>Number of Turbines: 47.241379310344826<br>Average Turbine Capacity: 1620.0 MW
27,Noble Wethersfield,ge wind,-78.26085490476191,42.62293007142857,84.0,1500.0,4.934784,38.5,Project Name: Noble Wethersfield<br>Number of Turbines: 84.0<br>Average Turbine Capacity: 1500.0 MW
26,Noble Ellenburg,ge wind,-73.97373362962963,44.86983174074074,54.0,1500.0,4.934784,38.5,Project Name: Noble Ellenburg<br>Number of Turbines: 54.0<br>Average Turbine Capacity: 1500.0 MW
25,Noble Clinton,ge wind,-73.99393073134327,44.921359835820894,67.0,1500.0,4.934784,38.5,Project Name: Noble Clinton<br>Number of Turbines: 67.0<br>Average Turbine Capacity: 1500.0 MW
24,Noble Chateaugay,ge wind,-74.03575995774648,44.89893902816901,71.0,1500.0,4.934784,38.5,Project Name: Noble Chateaugay<br>Number of Turbines: 71.0<br>Average Turbine Capacity: 1500.0 MW
23,Noble Bliss,ge wind,-78.25864031343284,42.5451171641791,67.0,1500.0,4.934784,38.5,Project Name: Noble Bliss<br>Number of Turbines: 67.0<br>Average Turbine Capacity: 1500.0 MW
22,Noble Altona,ge wind,-73.64967252307692,44.820633907692304,65.0,1500.0,4.934784,38.5,Project Name: Noble Altona<br>Number of Turbines: 65.0<br>Average Turbine Capacity: 1500.0 MW
21,New York State Thruway Authority,vergnet,-79.39859974999999,42.43075875,4.0,275.0,0.48779005,14.5,Project Name: New York State Thruway Authority<br>Number of Turbines: 4.0<br>Average Turbine Capacity: 275.0 MW
20,Munnsville,ge wind,-75.55895891304348,42.92641278260869,23.0,1500.0,4.934784,38.5,Project Name: Munnsville<br>Number of Turbines: 23.0<br>Average Turbine Capacity: 1500.0 MW
19,Marsh Hill,ge wind,-77.5045769,42.1773228,10.0,1620.0,6.9847584,51.5,Project Name: Marsh Hill<br>Number of Turbines: 10.0<br>Average Turbine Capacity: 1620.0 MW
18,Marble River,vestas,-73.93881595714286,44.92812828571429,70.0,3075.0,10.661403,56.0,Project Name: Marble River<br>Number of Turbines: 70.0<br>Average Turbine Capacity: 3075.0 MW
